Gene_ID,t_protein_3p_loss,t_protein_5q_amplification,t_protein_7p_amplification,t_protein_9p_loss,t_protein_14q_loss
ADGRL2,0,0,0,0,1
ADGRL4,1,0,0,-1,1
ADH1A,0,0,0,0,1
ADH1B,0,0,0,0,0
ADH1C,0,0,0,0,1
ADH4,0,0,0,0,1
ADH5,0,0,0,-1,1
ADH6,0,0,0,0,1
ADHFE1,0,0,0,0,1
ADI1,0,0,0,0,1
ADIPOQ,1,0,0,-1,1
ADIRF,1,0,0,0,1
ADK,-1,0,-1,0,0
ADNP,0,0,0,0,0
ADO,0,-1,-1,0,-1
ADPGK,0,0,-1,0,0
ADPRH,0,0,0,0,0
ADPRHL2,1,0,-1,0,0
ADRM1,0,0,0,0,0
ADSL,0,0,0,0,-1
ADSS,0,0,0,0,0
ADSSL1,1,0,0,0,-1
AEBP1,0,0,-1,0,0
AES,0,0,0,-1,-1
AFAP1,0,-1,0,0,0
AFAP1L1,0,0,0,-1,-1
AFAP1L2,1,0,-1,-1,-1
AFDN,0,0,0,0,0
AFF1,1,0,0,-1,0
AFF4,0,1,-1,0,0
AFG1L,-1,0,0,0,0
AFG3L2,0,0,0,0,0
AFM,0,0,0,0,0
AFMID,0,-1,0,0,-1
AFTPH,1,0,0,0,0
AGA,-1,0,0,0,0
AGAP1,1,0,0,0,0
AGAP3,0,0,1,0,0
AGFG1,0,0,0,0,1
AGFG2,0,-1,0,0,-1
AGGF1,0,0,0,0,0
AGK,0,0,0,0,1
AGL,0,0,0,0,0
AGMAT,0,0,0,0,0
AGO1,1,0,0,-1,-1
AGO2,1,0,0,0,-1
AGO3,1,0,0,-1,-1
AGPAT1,0,0,0,0,0
AGPAT2,0,1,0,0,0
AGPAT3,0,0,0,0,-1
AGPAT4,0,0,0,0,0
AGPAT5,0,0,0,0,0
AGPS,0,0,0,0,1
AGR2,0,0,0,0,0
AGR3,0,0,0,0,0
AGRN,0,0,0,-1,0
AGT,0,-1,0,0,0
AGTPBP1,0,0,0,0,0
AGTRAP,0,-1,0,0,1
AGXT,0,-1,0,0,0
AGXT2,0,0,0,-1,0
AHCTF1,0,-1,0,0,0
AHCY,0,0,0,-1,0
AHCYL1,0,0,0,-1,0
AHCYL2,-1,0,0,0,0
AHDC1,0,0,0,-1,-1
AHNAK,0,-1,0,0,-1
AHNAK2,0,0,0,0,0
AHR,0,0,0,0,0
AHSA1,-1,0,0,0,0
AHSG,0,-1,0,-1,0
AHSP,0,0,0,0,0
AIDA,1,0,0,0,0
AIF1,0,-1,0,0,1
AIF1L,-1,0,0,-1,0
AIFM1,0,0,0,0,1
AIFM2,0,0,0,0,0
AIG1,0,0,0,-1,0
AIMP1,-1,0,0,0,1
AIMP2,-1,0,0,0,1
AIP,0,0,0,0,-1
AJUBA,0,0,0,0,-1
AK1,0,0,0,-1,-1
AK2,0,0,0,0,0
AK3,-1,0,0,-1,-1
AK4,0,0,0,1,1
AK6,0,1,0,1,1
AKAP1,0,0,0,0,0
AKAP10,0,0,0,0,0
AKAP11,0,0,0,0,0
AKAP12,0,0,0,0,0
AKAP13,0,0,0,0,0
AKAP17A,0,0,0,0,0
AKAP7,0,0,-1,0,0
AKAP8,0,0,0,0,0
AKAP8L,0,0,-1,0,0
AKAP9,0,0,-1,0,0
AKNA,0,-1,0,0,0
AKR1A1,0,0,-1,0,0
AKR1B1,0,-1,0,0,0
AKR1B10,0,0,0,0,0
AKR1B15,0,-1,0,0,0
AKR1C1,0,0,0,0,0
AKR1C2,0,0,-1,0,0
AKR1C3,1,0,0,0,0
AKR1C4,0,0,0,0,0
AKR7A2,0,0,0,0,-1
AKR7A3,0,0,-1,0,0
AKR7L,0,0,0,0,0
AKT1,0,0,0,0,-1
AKT1S1,0,0,-1,0,1
AKT2,0,0,0,0,0
AKT3,0,0,0,0,0
AKTIP,0,0,0,0,0
ALAD,0,0,0,0,-1
ALAS1,0,0,0,0,0
ALB,0,0,0,0,0
ALCAM,0,0,0,0,-1
ALDH16A1,0,0,0,0,0
ALDH18A1,0,0,0,0,1
ALDH1A1,0,0,0,-1,-1
ALDH1A2,0,0,0,0,0
ALDH1A3,0,0,0,0,0
ALDH1B1,0,0,0,0,0
ALDH1L1,-1,0,0,0,-1
ALDH1L2,0,0,0,0,0
ALDH2,-1,0,0,0,0
ALDH3A2,-1,0,0,-1,0
ALDH3B1,0,0,0,0,0
ALDH4A1,-1,0,0,-1,0
ALDH5A1,0,0,0,-1,0
ALDH6A1,0,0,0,0,0
ALDH7A1,0,1,0,-1,0
ALDH8A1,0,0,0,0,0
ALDH9A1,-1,0,0,0,-1
ALDOA,0,0,0,0,0
ALDOB,0,0,0,0,0
ALDOC,0,0,0,-1,0
ALG1,-1,0,0,0,1
ALG11,0,0,0,0,0
ALG12,0,0,0,0,-1
ALG13,-1,0,0,-1,-1
ALG14,0,0,0,0,0
ALG2,0,0,-1,0,0
ALG3,0,0,0,-1,1
ALG5,0,0,0,0,0
ALG6,1,0,0,0,0
ALG9,0,0,0,0,0
ALKBH1,0,0,0,0,0
ALKBH3,0,0,0,0,0
ALKBH4,0,0,0,0,-1
ALKBH5,1,0,0,0,0
ALKBH7,0,0,0,0,0
ALKBH8,0,0,0,0,-1
ALOX5,0,0,0,0,1
ALOX5AP,0,0,0,0,1
ALPI,0,0,0,0,0
ALPK1,0,0,0,0,1
ALPK2,1,0,0,0,0
ALPL,0,0,0,0,-1
ALS2,0,0,0,0,0
ALYREF,0,0,0,0,0
AMACR,0,0,0,0,1
AMBP,0,0,0,0,0
AMBRA1,0,0,0,0,0
AMDHD1,0,-1,0,-1,-1
AMDHD2,0,0,0,-1,0
AMFR,0,-1,0,0,0
AMN,0,-1,0,0,0
AMOT,0,0,0,0,-1
AMOTL1,0,-1,0,-1,-1
AMOTL2,0,0,0,0,0
AMPD2,1,0,0,0,-1
AMPD3,0,0,0,1,0
AMPH,0,0,0,0,-1
AMT,-1,-1,0,0,-1
AMZ2,0,0,0,1,0
ANAPC1,0,0,0,0,-1
ANAPC10,0,0,0,0,0
ANAPC11,0,-1,0,0,0
ANAPC13,0,0,0,0,0
ANAPC16,0,0,0,0,0
ANAPC2,0,-1,0,0,-1
ANAPC4,0,0,0,0,0
ANAPC5,0,1,0,0,0
ANAPC7,0,0,0,0,0
ANG,0,0,0,0,-1
ANGEL2,0,0,0,0,0
ANGPT2,1,0,0,0,0
ANGPTL2,0,0,0,0,-1
ANGPTL3,0,0,0,0,0
ANGPTL4,1,0,0,1,1
ANK1,0,0,0,0,-1
ANK2,-1,0,0,0,0
ANK3,0,0,0,-1,0
ANKFY1,0,0,0,0,0
ANKHD1,0,1,0,0,1
ANKHD1-EIF4EBP3,0,1,0,0,1
ANKIB1,0,0,-1,-1,0
ANKLE2,0,0,0,1,1
ANKMY2,-1,0,-1,0,0
ANKRD10,0,0,-1,0,0
ANKRD11,0,0,0,0,0
ANKRD13A,0,0,-1,-1,0
ANKRD16,0,0,0,0,-1
ANKRD17,0,-1,0,-1,0
ANKRD2,0,0,0,0,0
ANKRD22,0,0,0,0,0
ANKRD26,0,0,-1,0,0
ANKRD27,0,0,0,0,0
ANKRD28,-1,0,0,0,0
ANKRD39,0,0,0,0,0
ANKRD40,1,0,-1,0,0
ANKRD44,0,0,0,0,0
ANKRD46,0,0,0,0,0
ANKRD49,1,0,-1,0,-1
ANKRD50,0,0,0,0,0
ANKRD52,0,0,0,0,0
ANKRD54,0,0,0,0,0
ANKRD6,0,0,0,0,0
ANKS1A,-1,-1,0,0,-1
ANKS3,0,0,0,0,1
ANKS4B,1,0,0,0,0
ANKS6,0,0,0,0,-1
ANKZF1,0,0,0,0,0
ANO10,-1,0,0,0,0
ANO6,1,0,0,0,0
ANP32A,0,0,0,0,0
ANP32B,0,0,0,-1,0
ANP32E,1,0,0,0,-1
ANPEP,0,0,0,-1,0
ANTXR1,0,0,0,0,0
ANTXR2,0,0,0,-1,0
ANXA1,0,0,0,-1,0
ANXA11,0,-1,0,0,0
ANXA13,1,0,0,-1,0
ANXA2,0,0,0,0,0
ANXA3,-1,0,0,0,0
ANXA4,1,0,0,0,0
ANXA5,1,0,0,0,0
ANXA6,0,0,0,-1,0
ANXA7,0,0,0,0,0
ANXA9,0,0,0,0,1
AOAH,0,0,0,0,0
AOC1,0,0,0,-1,0
AOC3,0,0,0,0,0
AOX1,0,0,0,0,0
AP1AR,0,0,0,-1,0
AP1B1,0,0,0,0,0
AP1G1,0,0,0,0,1
AP1G2,0,0,0,0,0
AP1M1,0,0,1,0,1
AP1M2,-1,0,1,0,0
AP1S1,0,0,1,0,0
AP1S2,0,0,0,0,0
AP1S3,0,0,1,0,0
AP2A1,0,0,1,0,1
AP2A2,0,0,1,0,0
AP2B1,0,0,1,0,0
AP2M1,0,0,0,0,0
AP2S1,0,0,1,0,0
AP3B1,0,1,1,1,1
AP3D1,0,1,1,1,1
AP3M1,0,1,1,1,1
AP3M2,0,0,1,0,0
AP3S1,0,1,1,1,1
AP4B1,0,0,0,1,0
AP4E1,0,0,1,0,0
AP4M1,0,0,1,1,1
AP4S1,0,0,1,0,-1
AP5B1,0,0,1,0,0
AP5M1,0,0,0,0,0
AP5S1,-1,0,1,0,0
AP5Z1,-1,0,1,0,0
APAF1,0,0,1,0,0
APBA1,0,0,0,-1,0
APBA3,0,0,1,0,0
APBB1,0,0,1,0,-1
APBB1IP,0,0,1,0,1
APBB2,0,-1,1,0,-1
APC,0,0,0,0,0
APCS,0,0,0,0,0
APEH,-1,0,0,0,0
APEX1,0,0,0,0,-1
API5,0,0,0,0,0
APIP,0,0,0,0,0
APLF,0,0,0,0,0
APLP2,-1,0,0,0,0
APMAP,0,0,0,0,0
APOA1,0,0,0,0,0
APOA2,0,0,0,0,0
APOA4,0,0,0,0,0
APOA5,0,0,0,0,0
APOB,0,0,0,0,0
APOBEC3C,0,0,0,0,1
APOBEC3F,0,0,0,0,0
APOBEC3G,0,0,0,0,1
APOBR,0,0,0,0,1
APOC1,0,0,0,0,0
APOC2,0,0,0,0,0
APOC3,0,0,0,0,0
APOC4,0,0,0,0,0
APOD,0,0,0,0,0
APOE,0,0,0,0,0
APOF,0,0,0,0,0
APOH,0,0,0,0,0
APOL1,0,0,0,0,0
APOL2,0,0,0,0,1
APOL3,1,0,0,0,0
APOM,0,0,0,0,0
APOO,-1,0,0,0,1
APOOL,0,0,0,0,0
APP,0,0,0,1,0
APPL1,-1,1,0,1,-1
APPL2,0,1,0,1,0
APRT,0,1,0,0,0
APTX,0,0,0,1,0
AQP1,0,1,-1,1,0
AQP2,0,1,0,1,0
AQR,0,1,0,1,0
ARAF,0,1,0,0,0
ARAP1,0,0,0,1,0
ARAP3,1,1,0,1,-1
ARCN1,0,1,0,1,1
ARF1,0,1,0,1,0
ARF3,0,1,0,1,0
ARF4,-1,1,0,1,1
ARF5,0,1,1,0,0
ARF6,0,0,0,1,-1
ARFGAP1,0,1,0,1,1
ARFGAP2,0,1,0,1,0
ARFGAP3,0,1,0,1,1
ARFGEF1,-1,1,0,0,1
ARFGEF2,-1,0,0,1,1
ARFGEF3,0,1,0,1,0
ARFIP1,0,1,0,1,0
ARFIP2,0,1,0,0,0
ARFRP1,0,0,0,1,1
ARG1,0,1,0,1,0
ARG2,0,1,0,1,0
ARGLU1,0,1,0,0,0
ARHGAP1,0,0,0,0,0
ARHGAP10,1,0,0,-1,-1
ARHGAP12,-1,0,0,0,0
ARHGAP15,0,0,0,0,1
ARHGAP17,0,0,0,-1,-1
ARHGAP18,0,0,0,0,-1
ARHGAP21,0,0,0,0,0
ARHGAP22,0,0,0,0,0
ARHGAP23,0,0,0,0,0
ARHGAP24,0,0,0,-1,0
ARHGAP25,0,0,0,0,0
ARHGAP26,0,0,0,0,0
ARHGAP27,1,0,0,0,1
ARHGAP28,0,0,0,0,0
ARHGAP29,0,-1,0,0,0
ARHGAP30,0,0,0,0,1
ARHGAP31,0,0,0,-1,-1
ARHGAP32,0,0,0,0,-1
ARHGAP35,0,0,0,0,0
ARHGAP4,0,0,0,0,1
ARHGAP42,1,0,0,0,-1
ARHGAP44,0,0,0,0,0
ARHGAP45,0,0,0,0,1
ARHGAP5,0,-1,0,0,-1
ARHGAP6,0,0,0,0,-1
ARHGAP8,0,0,0,0,-1
ARHGAP9,0,0,0,0,1
ARHGDIA,0,0,0,0,-1
ARHGDIB,0,0,0,-1,-1
ARHGEF1,1,0,0,0,0
ARHGEF10,1,0,0,0,-1
ARHGEF10L,0,0,0,0,0
ARHGEF11,0,0,0,0,0
ARHGEF12,1,0,0,-1,-1
ARHGEF15,0,0,0,0,-1
ARHGEF16,1,0,0,0,0
ARHGEF17,1,0,0,-1,-1
ARHGEF18,0,0,1,0,0
ARHGEF2,0,0,1,0,0
ARHGEF28,0,1,1,0,1
ARHGEF35,0,0,0,0,0
ARHGEF37,1,0,1,0,0
ARHGEF40,-1,-1,1,-1,-1
ARHGEF5,0,0,1,0,1
ARHGEF6,0,0,1,0,0
ARHGEF7,1,0,0,-1,-1
ARID1A,0,0,1,0,-1
ARID1B,0,0,1,0,-1
ARID2,0,0,1,0,0
ARID3A,0,0,1,0,1
ARID4A,0,-1,1,0,-1
ARID4B,0,0,1,0,0
ARID5B,0,0,0,0,0
ARIH1,0,0,1,0,0
ARIH2,-1,0,1,0,0
ARL1,0,0,1,0,1
ARL14EP,1,0,1,0,0
ARL15,0,0,0,-1,-1
ARL2,0,0,1,0,0
ARL2BP,1,0,1,0,0
ARL3,0,0,1,0,0
ARL5A,0,0,0,0,0
ARL6,0,0,1,-1,0
ARL6IP1,0,0,1,0,0
ARL6IP4,0,0,1,1,0
ARL6IP5,0,0,0,0,0
ARL6IP6,0,0,0,0,-1
ARL8A,0,0,0,0,0
ARL8B,-1,0,0,0,0
ARMC1,0,0,0,0,0
ARMC10,0,0,1,1,1
ARMC5,1,0,0,0,0
ARMC6,0,0,-1,0,0
ARMC8,0,0,0,0,0
ARMC9,0,0,0,0,0
ARMCX1,-1,0,0,0,0
ARMCX2,-1,0,0,0,0
ARMCX3,0,0,0,1,1
ARMCX6,0,0,0,0,0
ARMH3,0,0,0,0,0
ARMT1,0,0,0,0,0
ARNT,0,0,0,0,0
ARPC1A,0,0,0,-1,-1
ARPC1B,0,0,0,0,1
ARPC2,0,0,1,0,1
ARPC3,0,0,0,0,1
ARPC4,0,0,0,0,1
ARPC5,0,0,1,0,0
ARPC5L,-1,0,0,-1,0
ARPIN,0,0,0,0,0
ARPP19,0,-1,0,0,0
ARRB1,0,0,0,-1,0
ARRB2,0,0,0,1,0
ARRDC1,-1,0,0,0,0
ARSA,0,0,0,0,0
ARSB,0,0,0,1,0
ARSD,1,0,0,1,0
ARSE,0,1,0,1,0
ARSF,0,0,0,0,0
ARSK,0,0,0,1,0
ART3,0,0,0,1,0
ARVCF,0,0,0,1,0
AS3MT,0,0,0,1,0
ASAH1,-1,0,0,0,0
ASAP1,0,0,0,1,-1
ASAP2,0,1,0,1,-1
ASAP3,-1,1,0,1,0
ASB13,1,1,0,1,0
ASB6,0,0,0,1,0
ASB9,0,1,0,1,0
ASCC1,0,1,0,0,1
ASCC2,0,1,0,1,0
ASCC3,0,1,0,1,0
ASDURF,0,0,0,1,0
ASF1A,0,1,0,1,-1
ASGR2,0,1,0,0,0
ASH2L,0,1,0,1,-1
ASL,1,1,1,1,0
ASMTL,0,1,0,1,0
ASNA1,0,1,0,0,1
ASNS,0,0,0,1,0
ASPA,1,1,0,1,0
ASPDH,0,1,0,1,0
ASPG,0,1,0,0,-1
ASPH,0,1,0,1,0
ASPN,0,0,0,0,0
ASPSCR1,0,1,0,0,0
ASRGL1,0,1,0,0,0
ASS1,0,1,0,0,0
ASTN2,0,0,0,0,0
ATAD1,0,1,0,0,1
ATAD3A,0,1,0,1,1
ATAT1,0,1,0,0,0
ATE1,0,-1,0,0,-1
ATF1,0,0,0,0,0
ATF2,0,0,0,0,-1
ATF7,0,0,0,0,-1
ATF7IP,0,0,0,0,1
ATG101,0,0,0,0,0
ATG12,0,0,0,0,0
ATG13,0,0,0,0,1
ATG14,0,0,0,0,0
ATG16L1,0,0,0,0,0
ATG2A,0,0,0,-1,-1
ATG2B,0,0,0,-1,-1
ATG3,-1,0,0,0,0
ATG4A,0,0,0,0,0
ATG4B,-1,0,0,0,0
ATG4C,0,0,0,0,0
ATG5,0,0,0,0,0
ATG7,-1,0,0,0,0
ATG9A,1,0,0,0,1
ATIC,0,0,0,0,0
ATL1,0,0,0,0,-1
ATL2,0,0,0,0,0
ATL3,0,0,0,0,0
ATM,0,0,0,0,0
ATN1,0,0,0,0,0
ATOX1,0,1,0,0,1
ATP11A,1,0,0,0,0
ATP11B,0,0,0,0,1
ATP11C,0,1,0,1,1
ATP13A1,0,0,0,0,1
ATP13A3,0,0,0,1,1
ATP1A1,0,0,0,1,1
ATP1B1,0,0,0,1,1
ATP1B3,0,0,0,0,0
ATP23,-1,0,0,0,0
ATP2A2,0,0,0,1,1
ATP2A3,0,0,0,0,0
ATP2B1,-1,0,0,1,0
ATP2B3,0,0,0,0,0
ATP2B4,0,0,0,1,0
ATP2C1,0,1,0,1,1
ATP5F1A,-1,0,0,0,0
ATP5F1B,0,0,0,0,0
ATP5F1C,-1,0,0,0,0
ATP5F1D,0,0,0,0,0
ATP5F1E,-1,0,0,0,0
ATP5IF1,-1,0,0,0,0
ATP5MC2,0,0,0,0,0
ATP5MD,0,0,0,0,0
ATP5ME,0,0,0,0,0
ATP5MF,0,0,0,0,0
ATP5MF-PTCD1,0,0,0,0,0
ATP5MG,0,0,0,0,0
ATP5MPL,0,0,0,0,0
ATP5PB,0,0,0,0,0
ATP5PD,0,0,0,0,0
ATP5PF,-1,0,0,0,0
ATP5PO,-1,0,0,0,0
ATP5S,0,0,0,0,0
ATP6AP1,-1,0,0,0,0
ATP6AP2,0,0,0,0,0
ATP6V0A1,0,0,0,0,1
ATP6V0A2,0,0,0,0,0
ATP6V0A4,0,0,0,0,0
ATP6V0C,0,0,0,0,0
ATP6V0D1,-1,0,0,0,1
ATP6V0D2,0,0,0,0,0
ATP6V1A,-1,0,0,0,0
ATP6V1B1,0,0,0,0,0
ATP6V1B2,-1,0,0,0,0
ATP6V1C1,-1,0,0,0,0
ATP6V1C2,-1,0,0,0,0
ATP6V1D,-1,0,0,0,0
ATP6V1E1,-1,0,0,0,0
ATP6V1F,-1,0,0,0,0
ATP6V1G1,-1,0,0,0,0
ATP6V1G2,-1,0,0,0,-1
ATP6V1G3,-1,0,0,0,0
ATP6V1H,-1,0,0,0,0
ATP7A,0,0,0,0,0
ATP8A1,0,0,0,0,-1
ATP8B1,0,0,0,0,0
ATP9A,0,0,0,0,0
ATP9B,0,0,0,0,0
ATPAF1,-1,0,0,0,0
ATPAF2,0,0,0,0,0
ATR,0,0,0,0,0
ATRAID,0,0,0,0,0
ATRN,0,0,0,0,0
ATRX,0,0,0,0,-1
ATXN1,0,0,0,0,0
ATXN10,0,0,0,0,0
ATXN1L,0,0,0,-1,-1
ATXN2,-1,-1,0,0,0
ATXN2L,0,0,0,0,1
ATXN3,0,0,0,-1,-1
ATXN7,0,0,0,0,0
ATXN7L3B,0,0,0,0,-1
AUH,0,0,0,-1,0
AUP1,1,0,0,0,0
AURKAIP1,0,0,0,0,0
AUTS2,0,0,0,0,0
AVEN,-1,0,0,0,0
AVL9,0,0,1,1,1
AZGP1,0,0,0,0,0
AZI2,-1,0,0,0,0
AZU1,0,0,0,0,1
B2M,0,0,0,-1,0
B3GAT3,0,0,0,1,1
B3GLCT,0,0,0,0,-1
B3GNTL1,0,0,0,0,0
B4GALT1,0,0,0,0,1
B4GALT4,0,0,0,0,1
B4GALT7,0,0,0,1,1
B4GAT1,0,0,0,0,0
B9D1,0,0,0,0,0
B9D2,0,0,0,0,0
BABAM1,0,0,0,0,0
BABAM2,0,0,0,0,0
BACH1,0,0,0,1,0
BAD,0,0,0,0,0
BAG1,-1,-1,-1,-1,-1
BAG2,-1,0,0,0,1
BAG3,0,0,0,0,1
BAG4,0,0,0,0,-1
BAG5,0,0,0,0,-1
BAG6,0,0,0,0,0
BAIAP2,0,0,0,0,0
BAIAP2L1,0,0,0,1,1
BAIAP2L2,0,0,0,0,0
BAK1,0,0,0,0,0
BANF1,0,0,0,0,-1
BANP,0,0,0,0,0
BAP1,0,0,0,0,-1
BARD1,0,0,0,0,0
BASP1,-1,0,0,0,1
BAX,0,0,0,1,0
BAZ1A,1,0,0,0,0
BAZ1B,0,0,0,0,0
BAZ2A,0,0,0,0,1
BBIP1,0,0,0,0,-1
BBOX1,1,0,0,0,0
BBS1,0,0,0,0,-1
BBS2,0,0,0,0,-1
BBS4,0,0,0,0,0
BBS5,0,0,0,0,-1
BBS7,0,0,0,0,-1
BBS9,0,0,0,0,0
BBX,0,0,0,0,0
BCAM,0,-1,0,-1,-1
BCAP29,0,0,0,0,0
BCAP31,0,0,0,0,0
BCAR1,0,0,0,0,0
BCAR3,0,0,0,0,-1
BCAS2,0,0,0,0,0
BCAS3,0,0,0,0,0
BCAT1,-1,0,0,0,0
BCAT2,-1,0,0,0,0
BCCIP,0,0,0,0,0
BCHE,0,0,0,0,0
BCKDHA,-1,0,0,0,0
BCKDHB,-1,0,0,0,0
BCKDK,0,0,0,0,0
BCL10,0,0,0,0,0
BCL11B,0,0,0,0,0
BCL2,0,0,0,0,0
BCL2L1,-1,0,0,0,1
BCL2L11,0,0,0,0,0
BCL2L13,0,0,0,0,1
BCL2L2-PABPN1,0,0,0,0,-1
BCL3,0,0,0,0,0
BCL7A,0,0,0,0,0
BCL7B,0,0,0,-1,0
